Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID,keywords_cleaned,Main Domain
Aishwarya N.; Yaythish Kannaa G.S.; Seemakurthy K.,"Aishwarya, N. (36808965900); Yaythish Kannaa, G.S. (58706681400); Seemakurthy, Karthik (56523185300)",36808965900; 58706681400; 56523185300,YOLOSkin: A fusion framework for improved skin cancer diagnosis using YOLO detectors on Nvidia Jetson Nano,2025,Biomedical Signal Processing and Control,100,,107093,,,,6,10.1016/j.bspc.2024.107093,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85206945570&doi=10.1016%2fj.bspc.2024.107093&partnerID=40&md5=04450b21c5e96eb4a0b4b4d69e14d089,Convolutional neural network; Deep learning; Fusion; Image classification; Nvidia Jetson Nano; Skin disease diagnosis; YOLO,Article,Final,,Scopus,2-s2.0-85206945570,"convolutional neural network, deep learning, fusion, image classification, nvidia jetson nano, skin disease diagnosis, yolo",AI
Luan N.M.; Rajendran M.; Subramanian J.; Tajmeeh A.; Lai T.T.; Prakash A.; Keerthana R.,"Luan, Ng Miew (58179992500); Rajendran, Megala (59010255100); Subramanian, Jeyalakshmi (59009649100); Tajmeeh, Ashraf (58762639600); Lai, Tan Tiam (59724401600); Prakash, A. (58313318000); Keerthana, R. (59724087000)",58179992500; 59010255100; 59009649100; 58762639600; 59724401600; 58313318000; 59724087000,"The Many Faces of Masculinity: Wolves, Sheep and the Path to True Manhood in The Kite Runner",2025,World Journal of English Language,15,4,,243,250,7,0,10.5430/wjel.v15n4p243,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001955466&doi=10.5430%2fwjel.v15n4p243&partnerID=40&md5=17371bdf45d257cd1b5f737bde473a75,diaspora; gender disparities; gender mainstreaming; gender studies; hegemonic masculinity; Khaled Hosseini; Masculinism; The Kite Runner,Article,Final,,Scopus,2-s2.0-105001955466,"diaspora, gender disparities, gender mainstreaming, gender studies, hegemonic masculinity, khaled hosseini, masculinism, the kite runner",Others
V P C.; Bakthavatchalam B.; Jayakumar V.; Kusekar S.; Pandey A.K.; Habib K.; Algarni S.; Alqahtani T.,"V P, Chithra (57201912161); Bakthavatchalam, Balaji (57204704114); Jayakumar, V. (36548490500); Kusekar, Sambhaji (59201863000); Pandey, A.K. (36139061100); Habib, Khairul (23034500300); Algarni, Salem (56708893500); Alqahtani, Talal (57203780415)",57201912161; 57204704114; 36548490500; 59201863000; 36139061100; 23034500300; 56708893500; 57203780415,Enhancing heat transfer in compound twisted square ducts using shortened twisted tape inserts,2025,Results in Engineering,26,,104862,,,,0,10.1016/j.rineng.2025.104862,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002438502&doi=10.1016%2fj.rineng.2025.104862&partnerID=40&md5=bfb7a4afb6091bbb48bdabc30e22c33b,Friction factor; Heat exchanger; Laminar flow; Nusselt number; Swirl flow; Twisted square duct; Twisted tape,Article,Final,,Scopus,2-s2.0-105002438502,"friction factor, heat exchanger, laminar flow, nusselt number, swirl flow, twisted square duct, twisted tape",Thermal Engineering
Balasubramanian S.M.; Myviliselvi P.V.; Palanisamy S.,"Balasubramanian, Shyam Manohar (59732046600); Myviliselvi, Pagerathan Venkatasamy (59731515300); Palanisamy, Santhi (58891972800)",59732046600; 59731515300; 58891972800,Implementation of Malware Detection Using SVM-based Deep Learning Approach,2025,AIP Conference Proceedings,3279,1,20153,,,,0,10.1063/5.0262181,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002337362&doi=10.1063%2f5.0262181&partnerID=40&md5=cf6caaf928ab9250d2e68868ce6e1d65,,Conference paper,Final,,Scopus,2-s2.0-105002337362,,Cybersecurity
Reddy M.L.S.; Varshini R.; Saravanan S.,"Reddy, M.L. Sahasra (59949046700); Varshini, Raja (59949209000); Saravanan, S. (57195644470)",59949046700; 59949209000; 57195644470,Automated Web Application Security Reporting System with Slack Integration,2025,"2025 3rd International Conference on Advancements in Electrical, Electronics, Communication, Computing and Automation, ICAECA 2025",,,,,,,0,10.1109/ICAECA63854.2025.11012524,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008319129&doi=10.1109%2fICAECA63854.2025.11012524&partnerID=40&md5=04ec593cc47bb6c8ca5db8b469a4da46,API Security; Automated Vulnerability Scanning; Security Reporting; Slack Integration; Vulnerability Detection; Web Application Security,Conference paper,Final,,Scopus,2-s2.0-105008319129,"api security, automated vulnerability scanning, security reporting, slack integration, vulnerability detection, web application security",Others
Bhavana B.; Chaitanya C.; Bharathi Mohan G.,"Bhavana, Battula (59672924100); Chaitanya, Chennu (59156014600); Bharathi Mohan, G. (56026524900)",59672924100; 59156014600; 56026524900,Multimodal Question Answering with DenseNet and BERT for Improved User Interaction,2025,"Proceedings - 4th International Conference on Smart Technologies, Communication and Robotics 2025, STCR 2025",,,,,,,0,10.1109/STCR62650.2025.11019326,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008424688&doi=10.1109%2fSTCR62650.2025.11019326&partnerID=40&md5=032a6e5e2f3dbbad0bf56385276697bd,BERT; contextual alignment; Convolutional Neural Network (CNN); Den- sNet; Feature extraction; natural language processing; ResNet; Visual Question Answering (VQA),Conference paper,Final,,Scopus,2-s2.0-105008424688,"bert, contextual alignment, convolutional neural network (cnn), den- snet, feature extraction, natural language processing, resnet, visual question answering (vqa)",AI
Jayapal S.; Annamalai R.,"Jayapal, Senthil (59326279600); Annamalai, R. (57210211908)",59326279600; 57210211908,Graph Neural Network With Hessian-Based Locally Linear Embedding for Cancer Metastasis Analysis in Lymph Nodes Using DeepLab Segmentation,2025,IEEE Access,13,,,46448,46458,10,0,10.1109/ACCESS.2025.3546716,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001207572&doi=10.1109%2fACCESS.2025.3546716&partnerID=40&md5=8e34152ed374e60fbe4e1c88302a4765,DeepLab; graph neural network (GNN); Hessian-based locally linear embedding (HLLE); lymph nodes; metastasis analysis; segmentation,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105001207572,"deeplab, graph neural network (gnn), hessian-based locally linear embedding (hlle), lymph nodes, metastasis analysis, segmentation",AI
Mariya Louis D.; Manivel S.; Nagam V.B.; Thanigaiarasu B.,"Mariya Louis, Diviya (59544219700); Manivel, Subramanian (57243514300); Nagam, Vinoth Babu (59543938500); Thanigaiarasu, Balasubramanian (59544219800)",59544219700; 57243514300; 59543938500; 59544219800,Optimization of WEDM parameters for AZ91D magnesium biomaterial: A GRA-GA hybrid approach,2025,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",239,11,,3881,3903,22,1,10.1177/09544062251315584,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217045163&doi=10.1177%2f09544062251315584&partnerID=40&md5=0a1b255f1f38eff119e24d3ab34ebf5d,genetic algorithm (GA); gray relational analysis (GRA); Magnesium alloy; material removal rate; microhardness; surface irregularity; WEDM,Article,Final,,Scopus,2-s2.0-85217045163,"genetic algorithm (ga), gray relational analysis (gra), magnesium alloy, material removal rate, microhardness, surface irregularity, wedm",Mechanical Engineering
Devanathan B.; Selvaraj P.; Suyampulingam A.; Ilango K.,"Devanathan, Balakrishnan (58947641300); Selvaraj, Palanisamy (56579918800); Suyampulingam, Arumugam (57201467533); Ilango, Karuppasamy (37032616600)",58947641300; 56579918800; 57201467533; 37032616600,Prescribed time reliable platooning control for connected autonomous vehicles using neural network adaptive estimator approach,2025,Scientific Reports,15,1,6840,,,,0,10.1038/s41598-025-89887-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219187313&doi=10.1038%2fs41598-025-89887-0&partnerID=40&md5=728061b2d44cdced02e1f5117a9b607e,Connected autonomous vehicle; Platooning control; Prescribed-time stability; RBFNN-based adaptive observer; Stochastic actuator faults; String stability,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85219187313,"connected autonomous vehicle, platooning control, prescribed-time stability, rbfnn-based adaptive observer, stochastic actuator faults, string stability",Autonomous Systems
Kumar S.; Ahijith Kumar P.V.; Bharati K.; Patnaik L.; Ranjan Maity S.; Łepicka M.,"Kumar, Sunil (57378147900); Ahijith Kumar, P.V. (59182835800); Bharati, Kiran (59177145400); Patnaik, Lokeswar (57191823650); Ranjan Maity, Saikat (57210456580); Łepicka, Magdalena (55982409100)",57378147900; 59182835800; 59177145400; 57191823650; 57210456580; 55982409100,Coating material selection for bulk metal forming dies: A MEREC-integrated approach with multiple MCDM methods,2025,International Journal on Interactive Design and Manufacturing,19,6,,4055,4070,15,3,10.1007/s12008-024-01983-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198828042&doi=10.1007%2fs12008-024-01983-z&partnerID=40&md5=5cf792a5536a86cc037ae4bd125635b0,Coating material; Cr-(CrN/TiAlN) coating; MCDM; MEREC; Optimization,Article,Final,,Scopus,2-s2.0-85198828042,"coating material, cr-(crn/tialn) coating, mcdm, merec, optimization",Materials Science
